SEQUENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_Geer.mtx,CPU,330,330,310,280,280,290,290,280,290,290,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REAL,337.897,334.885,315.053,281.009,285.559,293.576,296.252,287.828,289.84,287.972,,335.1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFlow_742.mtx,CPU,110,110,100,100,100,100,90,90,90,90,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REAL,103.778,107.721,91.308,93.819,91.619,94.419,90.331,92.612,91.259,93.925,,104.1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmwcra_1.mtx,CPU,30,30,30,30,30,30,30,30,30,20,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REAL,32.572,31.383,31.859,29.893,28.124,28.328,28.366,28.933,28.085,27.885,,31.9303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msdoor.mtx,CPU,60,60,60,50,40,60,50,50,50,50,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REAL,109.421,59.474,58.849,50.369,49.794,51.653,52.727,50.733,51.269,50.823,,64.4687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nlpkkt240.mtx,CPU,1840,1880,1690,1840,1620,1800,1770,1660,1650,1670,,1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REAL,1844.783,1883.559,1695.884,1844.39,1630.52,1801.218,1775.783,1658.855,1653.927,1672.572,,1848.6606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CHUNK_SIZE = AUTO (1),,,,,,,,,,,,,,,,,,,CHUNK_SIZE = AUTO (iterazioni rimaste/#theads),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATIC – 4,,,,,,,,,,,,,,,,,,,DYNAMIC – 4,,,,,,,,,,,,,,,,,,,GUIDED – 4,,,,,,,,,,,,,,,
matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency
ML_Geer.mtx,CPU,160,170,160,150,180,2040,160,160,160,150,,365.999999999999,,,,,,ML_Geer.mtx,CPU,1460,1450,1450,1380,1440,1710,1460,1220,1310,1120,,1485,,,,,,ML_Geer.mtx,CPU,1010,440,400,500,510,690,460,800,530,2570,,1166,,
,REAL,41.969,41.731,41.918,37.43,48.763,782.105,42.062,41.185,41.278,40.574,,122.0972,2.74524067709989,0.686310169274973,,,,,REAL,365.342,364.068,365.226,346.562,362.534,428.369,366.158,307.163,336.303,280.71,,372.3791,0.900120871445256,0.225030217861314,,,,,REAL,379.34,208.954,195.569,238.803,212.555,206.07,233.166,400.443,220.402,727.669,,433.1656,0.773806137883526,0.193451534470881
PFlow_742.mtx,CPU,70,70,70,60,110,70,50,60,60,60,,74,,,,,,PFlow_742.mtx,CPU,650,630,650,500,650,640,490,480,1370,480,,722,,,,,,PFlow_742.mtx,CPU,170,260,170,160,200,210,220,160,520,660,,534,,
,REAL,17.16,17.433,17.494,14.029,34.694,17.442,13.808,15.99,16.954,15.945,,19.214,5.42168731133549,1.35542182783387,,,,,REAL,161.398,159.687,163.299,124.532,162.618,160.575,120.616,121.187,401.593,121.325,,187.1284,0.556688883141202,0.1391722207853,,,,,REAL,81.977,80.517,90.874,84.765,77.15,82.719,102.134,80.363,128.259,165.009,,131.934,0.789578880349266,0.197394720087316
