#PROC,Matrix,,MAX NNZ,MIN NNZ,AVG NNZ,IMBALANCE,,MAX Speedup ,MIN Speedup,,,,num proc,bmwcra_1,ML_Geer,msdoor,nlpkkt240,Pflow_742,Theoretical 
2,bmwcra_1.mtx,,5326150,5317852,5322001,1.00077959399106,,2.22443957,2.2206071,,,,2,2.22443957,2.18787365,2.13691596,1.89365027,2.84187954717803,2
,ML_Geer.mtx,,55439986,55439986,55439986,1,,2.18787365,2.17147566,,,,4,4.62697222,4.10967742,4.20002585,3.00667072,5.22114601,4
,msdoor.mtx,,10126363,10114572,10120467.5,1.00058253237807,,2.13691596,2.10990387,,,,8,6.38596332,5.92253241,4.97027309,3.21704223,7.22124403,8
,nlpkkt240.mtx,,387236176,387236176,387236176,1,,1.89365027,1.84490504,,,,16,11.41029691,10.05327213,7.11843226,4.56954599,11.8553172,16
,Pflow_742.mtx,,18698254,18440207,18569230.5,1.00694824160861,,2.84187955,2.7548308,,,,32,7.53455591,8.02461752,6.58372984,2.45173835,6.63496958923842,32
,,,,,,,,,,,,,64,6.66865046,6.68589883,4.36778793,2.87028866,11.99382566,64
4,bmwcra_1.mtx,,2663504,2658799,2661000.5,1.00094081154814,,4.62697222,4.25614323,,,,128,5.2706344,8.90590202,3.58602286,3.27592699,5.18745892,128
,ML_Geer.mtx,,27720684,27719302,27719993,1.00002492785622,,4.10967742,4.04488584,,,,,,,,,,
,msdoor.mtx,,5063792,5055857,5060233.75,1.00070317897864,,4.20002585,4.05118638,,,,,,,,,,
,nlpkkt240.mtx,,193620960,193615216,193618088,1.00001483332487,,3.00667072,2.94783881,,,,,,,,,,
,Pflow_742.mtx,,9513472,9138104,9284615.25,1.02464902894064,,5.22114601,3.14415182,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8,bmwcra_1.mtx,,1332084,1329155,1330500.25,1.00119034175304,,6.38596332,4.28670189,,,,,,,,,,
,ML_Geer.mtx,,13862028,13858656,13859996.5,1.00014657290859,,5.92253241,5.45560257,,,,,,,,,,
,msdoor.mtx,,2540545,2520034,2530116.875,1.00412159813764,,4.97027309,4.62454122,,,,,,,,,,
,nlpkkt240.mtx,,96810480,96804736,96809044,1.00001483332487,,3.21704223,2.5453859,,,,,,,,,,
,Pflow_742.mtx,,4757611,4568376,4642307.625,1.02483751278762,,7.22124403,6.45580796,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1x16,bmwcra_1.mtx,,667685,662698,665250.125,1.00366008950393,,11.41029691,9.91337226,,,,,,,,,,
,ML_Geer.mtx,,6931306,6928026,6929998.25,1.00018870856136,,10.05327213,8.95643159,,,,,,,,,,
,msdoor.mtx,,1271596,1259548,1265058.4375,1.00516779486718,,7.11843226,6.01524196,,,,,,,,,,
,nlpkkt240.mtx,,48405240,48399496,48404522,1.00001483332487,,4.56954599,2.87879689,,,,,,,,,,
,Pflow_742.mtx,,2379648,2283175,2321153.8125,1.02520047882437,,11.8553172,10.42652401,,,,num proc,bmwcra_1,ML_Geer,msdoor,nlpkkt240,Pflow_742,Theoretical 
,,,,,,,,,,,,,2,2.22443957,2.18787365,2.13691596,1.89365027,2.84187954717803,2
2x8,bmwcra_1.mtx,,667685,662698,665250.125,1.00366008950393,,9.11747778,6.13120162,,,,4,4.62697222,4.10967742,4.20002585,3.00667072,5.22114601,4
,ML_Geer.mtx,,6931306,6928026,6929998.25,1.00018870856136,,6.94270226,4.51970442,,,,8,6.38596332,5.92253241,4.97027309,3.21704223,7.22124403,8
,msdoor.mtx,,1271596,1259548,1265058.4375,1.00516779486718,,4.70767842,3.42780048,,,,16,9.11747778,6.94270226,4.70767841804204,2.61176591746573,7.10326801215249,16
,nlpkkt240.mtx,,48405240,48399496,48404522,1.00001483332487,,2.61176592,1.37961284,,,,32,7.66470923,7.66470923,5.62664737371453,3.00081607631945,7.40797001727364,32
,Pflow_742.mtx,,2379648,2283175,2321153.8125,1.02520047882437,,7.10326801,5.63182507,,,,64,4.62934678,4.62934678,3.30072391497882,3.85678624510524,12.79737658,64
,,,,,,,,,,,,,128,5.80074777,12.94265511,5.55046992,3.87915034,8.83236688,128
2x16,bmwcra_1.mtx,,335777,330539,332625.0625,1.00947594711087,,7.53455591,5.85873925,,,,,,,,,,
,ML_Geer.mtx,,3465706,3463690,3464999.125,1.00020400438052,,8.02461752,4.34630855,,,,,,,,,,
,msdoor.mtx,,636618,629153,632529.21875,1.00646417766768,,6.58372984,3.11988306,,,,,,,,,,
,nlpkkt240.mtx,,24203338,24198312,24202261,1.00004449997461,,2.45173835,1.38947252,,,,,,,,,,
,Pflow_742.mtx,,1191523,1141028,1160576.90625,1.02666440593755,,6.63496959,4.64282394,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4x8,bmwcra_1.mtx,,335777,330539,332625.0625,1.00947594711087,,7.66470923,5.9798873,,,,,,,,,,
,ML_Geer.mtx,,3465706,3463690,3464999.125,1.00020400438052,,8.57739476,6.46144346,,,,,,,,,,
,msdoor.mtx,,636618,629153,632529.21875,1.00646417766768,,5.62664737,4.03045052,,,,,,,,,,
,nlpkkt240.mtx,,24203338,24198312,24202261,1.00004449997461,,3.00081608,1.86082402,,,ML_Geer,num proc,Distributed,Dense,,,,
,Pflow_742.mtx,,1191523,1141028,1160576.90625,1.02666440593755,,7.40797002,6.25913691,,,,16,6.94270226,10.05327213,,,,
,,,,,,,,,,,,,32,7.66470923,8.02461752,,,,
4x16,bmwcra_1.mtx,,169279,164827,166312.53125,1.01783671216898,,6.66865046,4.06877175,,,,64,4.62934678,6.68589883,,,,
,ML_Geer.mtx,,1732896,1731528,1732499.5625,1.00022882401161,,6.68589883,4.8911057,,,,128,12.94265511,8.90590202,,,,
,msdoor.mtx,,318855,313772,316264.609375,1.00819058012883,,4.36778793,2.7846073,,,,,,,,,,
