config,num proc,max time,,,,config (Dense),num proc,max time,speedup,,,,config (Distributed),num proc,max time,speedup
1,1,0.0045693877,,,,1,1,0.0045693877,1,,,,1,1,0.0045693877,1
2,2,0.0063282016,,,,2,2,0.0063282016,1.38491238114901,,,,2,2,0.0063282016,1.38491238114901
4,4,0.0101423505,,,,4,4,0.0101423505,2.21963010492631,,,,4,4,0.0101423505,2.21963010492631
8,8,0.0109837056,,,,8,8,0.0109837056,2.40375873555225,,,,8,8,0.0109837056,2.40375873555225
1x16,16,0.049514985,,,,1x16,16,0.049514985,10.8362407068238,,,,2x8,16,0.041941619,9.17882695749367
2x8,16,0.041941619,,,,2x16,32,0.1030755046,22.5578373662624,,,,4x8,32,0.0463158608,10.1361197256254
2x16,32,0.1030755046,,,,4x16,64,0.1106177328,24.2084366796015,,,,8x8,64,0.1078386072,23.6002314270684
4x8,32,0.0463158608,,,,8x16,128,0.1184726241,25.9274615940337,,,,16x8,128,0.2062697645,45.1416640570902
4x16,64,0.1106177328,,,,,,,,,,,,,,
8x8,64,0.1078386072,,,,,,,,,,,,,,
8x16,128,0.1184726241,,,,,,,,,,,,,,
16x8,128,0.2062697645,,,,,,,,,,,,,,
